dimension,unique_value,metric,best_model,best_score,runner_up,runner_up_score
Ablation_n_qubits,6,acc,VQC,0.9468,QCNN,0.4653
Ablation_n_qubits,2,acc,QCNN,0.9432,VQC,0.9204
Ablation_n_qubits,4,acc,VQC,0.9432,QCNN,0.5915
Ablation_n_qubits,8,acc,VQC,0.9418,QCNN,0.4779
Ablation_n_qubits,2,auc,QCNN,0.9363,VQC,0.9207
Ablation_n_qubits,8,auc,VQC,0.9345,QCNN,0.6411
Ablation_n_qubits,4,auc,VQC,0.9248,QCNN,0.5962
Ablation_n_qubits,6,auc,VQC,0.9197,QCNN,0.6297
Ablation_reps,1,acc,VQC,0.938,QCNN,0.6195
Ablation_reps,2,acc,VQC,0.938,QCNN,0.6195
Ablation_reps,3,acc,VQC,0.938,QCNN,0.6195
Ablation_reps,1,auc,VQC,0.9249,QCNN,0.7008
Ablation_reps,2,auc,VQC,0.9249,QCNN,0.7008
Ablation_reps,3,auc,VQC,0.9249,QCNN,0.7008
Ablation_shots,64,acc,VQC,0.939,QCNN,0.6195
Ablation_shots,256,acc,VQC,0.9378,QCNN,0.6195
Ablation_shots,1024,acc,VQC,0.9373,QCNN,0.6195
Ablation_shots,64,auc,VQC,0.9254,QCNN,0.7008
Ablation_shots,256,auc,VQC,0.9249,QCNN,0.7008
Ablation_shots,1024,auc,VQC,0.9244,QCNN,0.7008
ExtAblation_encoder,pauli,acc,VQC,0.9254,QAOA_VQC,0.9173
ExtAblation_encoder,zz,acc,QAOA_VQC,0.9228,VQC,0.9228
ExtAblation_encoder,pauli,auc,VQC,0.9194,QAOA_VQC,0.9069
ExtAblation_encoder,zz,auc,QAOA_VQC,0.912,VQC,0.9105
ExtAblation_n_qubits,2,acc,QCNN,0.9302,VQC,0.9138
ExtAblation_n_qubits,8,acc,VQC,0.9292,QAOA_VQC,0.9256
ExtAblation_n_qubits,6,acc,VQC,0.9275,QAOA_VQC,0.9253
ExtAblation_n_qubits,4,acc,VQC,0.9258,QAOA_VQC,0.9169
ExtAblation_n_qubits,8,auc,QAOA_VQC,0.9337,VQC,0.9149
ExtAblation_n_qubits,2,auc,QCNN,0.9276,VQC,0.9132
ExtAblation_n_qubits,6,auc,QAOA_VQC,0.9254,VQC,0.9191
ExtAblation_n_qubits,4,auc,VQC,0.9126,QAOA_VQC,0.905
ExtAblation_reps,1,acc,VQC,0.9241,QAOA_VQC,0.92
ExtAblation_reps,2,acc,VQC,0.9241,QAOA_VQC,0.92
ExtAblation_reps,3,acc,VQC,0.9241,QAOA_VQC,0.92
ExtAblation_reps,1,auc,VQC,0.915,QAOA_VQC,0.9095
ExtAblation_reps,2,auc,VQC,0.915,QAOA_VQC,0.9095
ExtAblation_reps,3,auc,VQC,0.915,QAOA_VQC,0.9095
ExtAblation_shots,64,acc,QAOA_VQC,0.9255,VQC,0.9251
ExtAblation_shots,256,acc,VQC,0.9242,QAOA_VQC,0.9208
ExtAblation_shots,512,acc,VQC,0.9238,QAOA_VQC,0.9175
ExtAblation_shots,1024,acc,VQC,0.9232,QAOA_VQC,0.9162
ExtAblation_shots,64,auc,VQC,0.9173,QAOA_VQC,0.9126
ExtAblation_shots,256,auc,VQC,0.9146,QAOA_VQC,0.9091
ExtAblation_shots,512,auc,VQC,0.9141,QAOA_VQC,0.9083
ExtAblation_shots,1024,auc,VQC,0.9138,QAOA_VQC,0.9078
InputSizeConfig,13-Relevant,acc,RF,0.9892,SVM_RBF,0.9845
InputSizeConfig,30-Full,acc,RF,0.989,MLP,0.9871
InputSizeConfig,4-PCA,acc,QAOA_VQC,0.9861,SVM_RBF,0.9814
InputSizeConfig,6-PCA,acc,SVM_RBF,0.9835,QKernel_SVM,0.9821
InputSizeConfig,30-Full,auc,RF,0.989,SVM_RBF,0.9854
InputSizeConfig,13-Relevant,auc,RF,0.9842,SVM_RBF,0.9773
InputSizeConfig,6-PCA,auc,QuantumBoost,0.9576,RF,0.9565
InputSizeConfig,4-PCA,auc,QuantumBoost,0.946,SVM_RBF,0.9439
Overall_NoNoise,ALL,acc,RF,0.9894,SVM_RBF,0.9874
Overall_NoNoise,ALL,auc,RF,0.9865,SVM_RBF,0.9843
Overall_NoNoise,ALL,cv_mean,RF,0.9994,MLP,0.9992
Overall_NoNoise,ALL,f1,RF,0.9049,SVM_RBF,0.8879
Overall_NoNoise,ALL,mcc,RF,0.9001,SVM_RBF,0.882
PCAComponents,31,acc,SVM_RBF,0.9726,RF,0.9726
PCAComponents,8,acc,QKernel_SVM,0.9593,SVM_RBF,0.9586
PCAComponents,2,acc,SVM_RBF,0.9572,QAOA_VQC,0.9546
PCAComponents,4,acc,QKernel_SVM,0.9572,SVM_RBF,0.9572
PCAComponents,6,acc,QKernel_SVM,0.9559,SVM_RBF,0.9552
PCAComponents,31,auc,RF,0.9803,SVM_RBF,0.9801
PCAComponents,8,auc,MLP,0.9578,SVM_RBF,0.9571
PCAComponents,6,auc,RF,0.9573,QuantumBoost,0.9542
PCAComponents,4,auc,SVM_RBF,0.9337,RF,0.9314
PCAComponents,2,auc,MLP,0.9247,SVM_RBF,0.923
PCAConfig,Full-31,acc,SVM_RBF,0.9726,RF,0.9726
PCAConfig,PCA-8,acc,QKernel_SVM,0.9593,SVM_RBF,0.9586
PCAConfig,PCA-2,acc,SVM_RBF,0.9572,QAOA_VQC,0.9546
PCAConfig,PCA-4,acc,QKernel_SVM,0.9572,SVM_RBF,0.9572
PCAConfig,PCA-6,acc,QKernel_SVM,0.9559,SVM_RBF,0.9552
PCAConfig,Full-31,auc,RF,0.9803,SVM_RBF,0.9801
PCAConfig,PCA-8,auc,MLP,0.9578,SVM_RBF,0.9571
PCAConfig,PCA-6,auc,RF,0.9573,QuantumBoost,0.9542
PCAConfig,PCA-4,auc,SVM_RBF,0.9337,RF,0.9314
PCAConfig,PCA-2,auc,MLP,0.9247,SVM_RBF,0.923
